"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"9 févr. 2026, 17:00:00"	"11 févr. 2026, 17:00:00"	"Court"	"12"	"105,00$"	"+0,44%"	"105,40$"	"-15,40$"	"+0,00525"
"20 janv. 2026, 13:00:00"	"26 janv. 2026, 01:00:00"	"Court"	"22"	"-251,80$"	"-1,07%"	"123,00$"	"-251,80$"	"-0,01259"
"10 déc. 2025, 21:00:00"	"17 déc. 2025, 05:00:00"	"Court"	"27"	"-124,20$"	"-0,53%"	"0,00$"	"-185,00$"	"-0,00621"
"25 nov. 2025, 21:00:00"	"28 nov. 2025, 13:00:00"	"Court"	"16"	"31,00$"	"+0,13%"	"35,80$"	"-38,60$"	"+0,00155"
"16 sept. 2025, 17:00:00"	"18 sept. 2025, 17:00:00"	"Court"	"12"	"150,40$"	"+0,63%"	"151,20$"	"-31,60$"	"+0,00752"
"21 juil. 2025, 17:00:00"	"25 juil. 2025, 13:00:00"	"Court"	"23"	"-65,40$"	"-0,28%"	"10,00$"	"-162,00$"	"-0,00327"
"11 juin 2025, 17:00:00"	"12 juin 2025, 13:00:00"	"Court"	"5"	"-224,00$"	"-0,98%"	"0,00$"	"-224,00$"	"-0,01120"
"19 mai 2025, 13:00:00"	"26 mai 2025, 05:00:00"	"Court"	"29"	"-264,00$"	"-1,17%"	"92,00$"	"-264,00$"	"-0,01320"
"21 avr. 2025, 05:00:00"	"22 avr. 2025, 21:00:00"	"Court"	"10"	"155,60$"	"+0,68%"	"155,60$"	"-38,20$"	"+0,00778"
"10 avr. 2025, 17:00:00"	"11 avr. 2025, 05:00:00"	"Court"	"3"	"-236,40$"	"-1,06%"	"0,00$"	"-236,40$"	"-0,01182"
"3 avr. 2025, 17:00:00"	"7 avr. 2025, 17:00:00"	"Court"	"13"	"391,20$"	"+1,76%"	"392,20$"	"0,00$"	"+0,01956"
"3 avr. 2025, 05:00:00"	"3 avr. 2025, 13:00:00"	"Court"	"2"	"-282,40$"	"-1,29%"	"0,00$"	"-282,40$"	"-0,01412"
"20 janv. 2025, 17:00:00"	"24 janv. 2025, 17:00:00"	"Court"	"24"	"-232,20$"	"-1,12%"	"94,20$"	"-232,20$"	"-0,01161"
"30 oct. 2024, 17:00:00"	"1 nov. 2024, 21:00:00"	"Court"	"13"	"53,80$"	"+0,25%"	"54,60$"	"-41,60$"	"+0,00269"
"13 août 2024, 17:00:00"	"19 août 2024, 17:00:00"	"Court"	"25"	"-220,60$"	"-1,01%"	"0,00$"	"-220,60$"	"-0,01103"
"2 août 2024, 17:00:00"	"8 août 2024, 13:00:00"	"Court"	"24"	"-7,40$"	"-0,03%"	"33,40$"	"-114,60$"	"-0,00037"
"11 juil. 2024, 17:00:00"	"16 juil. 2024, 17:00:00"	"Court"	"19"	"-2,00$"	"-0,01%"	"26,20$"	"-78,00$"	"-0,00010"
"13 déc. 2023, 21:00:00"	"14 déc. 2023, 17:00:00"	"Court"	"5"	"-212,40$"	"-0,98%"	"13,20$"	"-212,40$"	"-0,01062"
"14 nov. 2023, 17:00:00"	"20 nov. 2023, 17:00:00"	"Court"	"25"	"-202,20$"	"-0,93%"	"9,80$"	"-202,20$"	"-0,01011"
"3 nov. 2023, 17:00:00"	"8 nov. 2023, 09:00:00"	"Court"	"17"	"101,80$"	"+0,47%"	"115,40$"	"-39,60$"	"+0,00509"
"23 oct. 2023, 21:00:00"	"24 oct. 2023, 21:00:00"	"Court"	"6"	"170,60$"	"+0,80%"	"170,60$"	"-23,00$"	"+0,00853"
"21 juin 2023, 21:00:00"	"23 juin 2023, 05:00:00"	"Court"	"8"	"90,60$"	"+0,41%"	"91,20$"	"-41,00$"	"+0,00453"
"15 juin 2023, 21:00:00"	"20 juin 2023, 17:00:00"	"Court"	"18"	"96,40$"	"+0,44%"	"97,40$"	"0,00$"	"+0,00482"
"8 juin 2023, 17:00:00"	"15 juin 2023, 17:00:00"	"Court"	"31"	"-283,80$"	"-1,32%"	"60,60$"	"-283,80$"	"-0,01419"
"1 févr. 2023, 21:00:00"	"3 févr. 2023, 05:00:00"	"Court"	"8"	"166,00$"	"+0,76%"	"167,20$"	"-80,00$"	"+0,00830"
"13 déc. 2022, 17:00:00"	"16 déc. 2022, 21:00:00"	"Court"	"19"	"71,60$"	"+0,34%"	"72,60$"	"-80,60$"	"+0,00358"
"13 oct. 2022, 21:00:00"	"16 oct. 2022, 21:00:00"	"Court"	"7"	"97,40$"	"+0,50%"	"126,20$"	"-8,00$"	"+0,00487"
"10 août 2022, 17:00:00"	"12 août 2022, 17:00:00"	"Court"	"12"	"219,00$"	"+1,06%"	"219,80$"	"0,00$"	"+0,01095"
"4 mai 2022, 21:00:00"	"5 mai 2022, 17:00:00"	"Court"	"5"	"164,80$"	"+0,78%"	"165,80$"	"-14,80$"	"+0,00824"
"20 avr. 2022, 13:00:00"	"22 avr. 2022, 13:00:00"	"Court"	"12"	"84,00$"	"+0,39%"	"84,60$"	"-88,00$"	"+0,00420"
"29 mars 2022, 17:00:00"	"1 avr. 2022, 05:00:00"	"Court"	"15"	"68,40$"	"+0,31%"	"69,20$"	"-138,80$"	"+0,00342"
"12 janv. 2022, 21:00:00"	"17 janv. 2022, 01:00:00"	"Court"	"14"	"75,80$"	"+0,33%"	"76,40$"	"-48,20$"	"+0,00379"
"26 nov. 2021, 17:00:00"	"30 nov. 2021, 17:00:00"	"Court"	"13"	"112,00$"	"+0,49%"	"113,80$"	"-62,60$"	"+0,00560"
"13 août 2021, 17:00:00"	"17 août 2021, 17:00:00"	"Court"	"13"	"148,00$"	"+0,63%"	"148,60$"	"-9,60$"	"+0,00740"
"7 mai 2021, 17:00:00"	"12 mai 2021, 13:00:00"	"Court"	"18"	"29,60$"	"+0,12%"	"32,60$"	"-53,20$"	"+0,00148"
"19 avr. 2021, 13:00:00"	"22 avr. 2021, 17:00:00"	"Court"	"19"	"36,00$"	"+0,15%"	"62,20$"	"-63,80$"	"+0,00180"
"25 févr. 2021, 13:00:00"	"26 févr. 2021, 09:00:00"	"Court"	"5"	"188,00$"	"+0,77%"	"188,80$"	"0,00$"	"+0,00940"
"16 févr. 2021, 13:00:00"	"17 févr. 2021, 09:00:00"	"Court"	"5"	"180,80$"	"+0,74%"	"181,40$"	"0,00$"	"+0,00904"
"5 oct. 2020, 17:00:00"	"7 oct. 2020, 01:00:00"	"Court"	"8"	"109,60$"	"+0,46%"	"110,20$"	"-4,00$"	"+0,00548"
"28 août 2020, 13:00:00"	"2 sept. 2020, 13:00:00"	"Court"	"19"	"85,20$"	"+0,36%"	"86,20$"	"-173,80$"	"+0,00426"
"4 juin 2020, 17:00:00"	"9 juin 2020, 09:00:00"	"Court"	"17"	"150,00$"	"+0,66%"	"150,00$"	"-59,80$"	"+0,00750"
"18 mai 2020, 21:00:00"	"22 mai 2020, 09:00:00"	"Court"	"21"	"-26,80$"	"-0,12%"	"16,80$"	"-155,20$"	"-0,00134"
"30 avr. 2020, 17:00:00"	"4 mai 2020, 21:00:00"	"Court"	"14"	"91,80$"	"+0,42%"	"92,20$"	"-109,00$"	"+0,00459"
"6 mars 2020, 13:00:00"	"9 mars 2020, 09:00:00"	"Court"	"6"	"-216,00$"	"-0,95%"	"85,60$"	"-216,00$"	"-0,01080"
"31 janv. 2020, 17:00:00"	"4 févr. 2020, 17:00:00"	"Court"	"13"	"82,80$"	"+0,37%"	"83,80$"	"-30,80$"	"+0,00414"
"27 déc. 2019, 05:00:00"	"31 déc. 2019, 13:00:00"	"Court"	"15"	"-219,80$"	"-0,99%"	"0,00$"	"-219,80$"	"-0,01099"
"2 déc. 2019, 17:00:00"	"6 déc. 2019, 17:00:00"	"Court"	"24"	"39,40$"	"+0,18%"	"40,00$"	"-74,20$"	"+0,00197"
"16 oct. 2019, 21:00:00"	"22 oct. 2019, 21:00:00"	"Court"	"25"	"-102,40$"	"-0,46%"	"11,40$"	"-196,60$"	"-0,00512"
"10 oct. 2019, 13:00:00"	"15 oct. 2019, 13:00:00"	"Court"	"19"	"19,00$"	"+0,09%"	"37,60$"	"-34,40$"	"+0,00095"
"23 août 2019, 21:00:00"	"26 août 2019, 21:00:00"	"Court"	"7"	"93,80$"	"+0,42%"	"94,80$"	"-18,20$"	"+0,00469"
"20 juin 2019, 13:00:00"	"27 juin 2019, 05:00:00"	"Court"	"29"	"-120,00$"	"-0,53%"	"31,40$"	"-199,80$"	"-0,00600"
"3 juin 2019, 21:00:00"	"12 juin 2019, 21:00:00"	"Court"	"43"	"-54,40$"	"-0,24%"	"66,00$"	"-160,20$"	"-0,00272"
"9 mai 2019, 17:00:00"	"14 mai 2019, 17:00:00"	"Court"	"19"	"35,60$"	"+0,16%"	"36,60$"	"-27,60$"	"+0,00178"
"12 avr. 2019, 13:00:00"	"16 avr. 2019, 21:00:00"	"Court"	"15"	"49,40$"	"+0,22%"	"50,60$"	"-2,00$"	"+0,00247"
"20 mars 2019, 21:00:00"	"22 mars 2019, 13:00:00"	"Court"	"10"	"269,20$"	"+1,18%"	"269,80$"	"0,00$"	"+0,01346"
"26 févr. 2019, 21:00:00"	"1 mars 2019, 05:00:00"	"Court"	"14"	"52,00$"	"+0,23%"	"53,20$"	"-42,20$"	"+0,00260"

