"année"	"janvier"	"février"	"mars"	"avril"	"mai"	"juin"	"juillet"	"août"	"septembre"	"octobre"	"novembre"	"décembre"	"Total"
"2026"	"-9,74%"	"+3,89%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"-6,23%"
"2025"	"-0,13%"	"+7,78%"	"+9,82%"	"-11,86%"	"-2,49%"	"+5,25%"	"-1,96%"	"-13,77%"	"-0,43%"	"+12,02%"	"+5,11%"	"-0,00%"	"+5,98%"
"2024"	"+5,84%"	"+17,39%"	"+6,74%"	"+7,36%"	"+14,14%"	"+10,29%"	"+33,22%"	"+27,02%"	"+6,24%"	"+11,42%"	"+7,06%"	"+2,29%"	"+293,13%"
"2023"	"+6,82%"	"-8,08%"	"+4,70%"	"+4,17%"	"+43,66%"	"+8,75%"	"-0,43%"	"+3,25%"	"+2,58%"	"-10,34%"	"+3,53%"	"-0,06%"	"+63,68%"
"2022"	"+8,66%"	"-4,30%"	"+11,71%"	"+6,64%"	"+15,29%"	"+11,16%"	"-9,61%"	"+19,96%"	"+11,93%"	"-2,93%"	"+15,09%"	"+4,07%"	"+124,00%"
"2021"	"-9,69%"	"+9,56%"	"+7,65%"	"-0,01%"	"+29,85%"	"+12,71%"	"+1,59%"	"+8,29%"	"+1,24%"	"-8,98%"	"+2,67%"	"+20,23%"	"+95,04%"
"2020"	"+15,13%"	"+5,03%"	"+5,41%"	"-0,01%"	"-1,75%"	"+3,94%"	"-3,53%"	"+5,02%"	"+13,39%"	"+34,37%"	"+26,86%"	"-0,89%"	"+152,58%"
"2019"	"-8,28%"	"+2,57%"	"+11,63%"	"+7,99%"	"-0,15%"	"+0,35%"	"-0,62%"	"+11,85%"	"-4,33%"	"+14,26%"	"+13,14%"	"+4,41%"	"+63,09%"
"2018"	"+5,85%"	"+25,47%"	"+12,38%"	"+0,12%"	"+2,26%"	"-1,92%"	"+19,07%"	"+2,20%"	"+5,23%"	"+10,63%"	"+3,99%"	"+6,42%"	"+134,96%"
"2017"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+5,81%"	"+5,81%"

