"année"	"janvier"	"février"	"mars"	"avril"	"mai"	"juin"	"juillet"	"août"	"septembre"	"octobre"	"novembre"	"décembre"	"Total"
"2026"	"-1,32%"	"+0,60%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"-0,73%"
"2025"	"-0,00%"	"+1,08%"	"+1,32%"	"-1,57%"	"-0,34%"	"+0,79%"	"-0,27%"	"-2,00%"	"-0,04%"	"+1,63%"	"+0,77%"	"-0,01%"	"+1,30%"
"2024"	"+1,04%"	"+2,90%"	"+1,12%"	"+1,24%"	"+2,23%"	"+1,63%"	"+4,67%"	"+3,74%"	"+0,89%"	"+1,58%"	"+1,15%"	"+0,40%"	"+24,98%"
"2023"	"+1,33%"	"-1,58%"	"+1,01%"	"+0,85%"	"+7,32%"	"+1,59%"	"+0,03%"	"+0,70%"	"+0,50%"	"-1,65%"	"+0,67%"	"+0,02%"	"+11,06%"
"2022"	"+2,07%"	"-0,91%"	"+2,54%"	"+1,62%"	"+3,35%"	"+2,31%"	"-2,03%"	"+3,97%"	"+2,42%"	"-0,57%"	"+2,92%"	"+0,88%"	"+20,01%"
"2021"	"-2,65%"	"+2,69%"	"+2,11%"	"-0,02%"	"+7,42%"	"+3,37%"	"+0,64%"	"+1,99%"	"+0,54%"	"-2,18%"	"+0,77%"	"+4,63%"	"+20,62%"
"2020"	"+6,06%"	"+2,08%"	"+1,92%"	"-0,02%"	"-0,58%"	"+1,39%"	"-1,13%"	"+1,75%"	"+4,71%"	"+10,34%"	"+7,91%"	"-0,25%"	"+39,13%"
"2019"	"-4,22%"	"+1,90%"	"+5,97%"	"+3,79%"	"+0,17%"	"+0,31%"	"-0,08%"	"+5,76%"	"-1,83%"	"+6,53%"	"+5,53%"	"+2,13%"	"+28,50%"
"2018"	"+5,67%"	"+21,21%"	"+9,31%"	"+0,41%"	"+1,65%"	"-0,90%"	"+12,06%"	"+2,02%"	"+3,34%"	"+6,03%"	"+2,74%"	"+3,81%"	"+89,22%"
"2017"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+6,31%"	"+6,31%"

