"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"9 juin 2022, 01:00:00"	"13 juin 2022, 13:00:00"	"Long"	"16"	"-403,00€"	"-1,67%"	"280,80€"	"-406,90€"	"-31,0"
"6 juin 2022, 21:00:00"	"9 juin 2022, 01:00:00"	"Court"	"13"	"-167,70€"	"-0,70%"	"0,00€"	"-195,70€"	"-12,9"
"2 juin 2022, 17:00:00"	"6 juin 2022, 21:00:00"	"Long"	"14"	"-244,00€"	"-1,31%"	"42,80€"	"-250,10€"	"-24,4"
"31 mai 2022, 17:00:00"	"2 juin 2022, 17:00:00"	"Court"	"12"	"-226,60€"	"-1,12%"	"141,40€"	"-226,00€"	"-20,6"
"5 mai 2022, 13:00:00"	"31 mai 2022, 17:00:00"	"Long"	"113"	"-412,80€"	"-2,72%"	"0,00€"	"-723,40€"	"-51,6"
"20 avr. 2022, 01:00:00"	"5 mai 2022, 13:00:00"	"Court"	"71"	"477,90€"	"+2,72%"	"819,90€"	"-53,10€"	"+53,1"
"1 avr. 2022, 05:00:00"	"20 avr. 2022, 01:00:00"	"Long"	"74"	"140,40€"	"+0,81%"	"492,50€"	"-137,50€"	"+15,6"
"28 mars 2022, 21:00:00"	"1 avr. 2022, 05:00:00"	"Court"	"20"	"-55,20€"	"-0,36%"	"148,80€"	"-114,40€"	"-6,9"
"27 févr. 2022, 21:00:00"	"24 mars 2022, 05:00:00"	"Court"	"113"	"-86,50€"	"-0,90%"	"126,50€"	"-676,00€"	"-17,3"
"19 janv. 2022, 01:00:00"	"4 févr. 2022, 01:00:00"	"Court"	"74"	"123,00€"	"+0,45%"	"466,90€"	"-566,60€"	"+8,2"
"11 janv. 2022, 17:00:00"	"19 janv. 2022, 01:00:00"	"Long"	"33"	"28,60€"	"+0,12%"	"205,60€"	"0,00€"	"+2,2"
