"année"	"janvier"	"février"	"mars"	"avril"	"mai"	"juin"	"juillet"	"août"	"septembre"	"octobre"	"novembre"	"décembre"	"Total"
"2026"	"+9,02%"	"+24,78%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+36,03%"
"2025"	"-1,33%"	"+23,34%"	"-5,95%"	"+2,82%"	"+1,01%"	"-16,11%"	"+0,92%"	"+11,72%"	"+7,98%"	"+10,60%"	"-1,71%"	"+18,28%"	"+56,11%"
"2024"	"+3,20%"	"-2,85%"	"-1,01%"	"+9,02%"	"+9,66%"	"-4,86%"	"+25,63%"	"+5,82%"	"+15,66%"	"+20,20%"	"+13,31%"	"+24,45%"	"+194,21%"
"2023"	"+24,41%"	"+6,52%"	"-1,19%"	"-10,00%"	"+2,34%"	"+6,27%"	"-7,83%"	"+23,51%"	"-8,51%"	"+17,07%"	"+5,35%"	"-4,61%"	"+57,04%"
"2022"	"-5,02%"	"+9,70%"	"-5,63%"	"+37,57%"	"+22,25%"	"-13,00%"	"-1,76%"	"+11,95%"	"-5,79%"	"+1,70%"	"+8,35%"	"+2,05%"	"+67,64%"
"2021"	"-9,48%"	"-9,73%"	"-9,71%"	"+12,67%"	"+20,94%"	"+3,55%"	"+11,21%"	"-0,24%"	"-8,44%"	"+17,45%"	"+0,47%"	"+5,35%"	"+31,45%"
"2020"	"+8,74%"	"+8,14%"	"-6,15%"	"-6,03%"	"-10,23%"	"+7,02%"	"-5,92%"	"+5,51%"	"+20,82%"	"-0,75%"	"-4,38%"	"-0,89%"	"+12,37%"
"2019"	"+3,25%"	"+1,49%"	"+2,85%"	"-3,27%"	"-6,65%"	"+3,42%"	"+1,43%"	"+0,72%"	"-0,64%"	"+1,68%"	"-4,84%"	"+0,78%"	"-0,36%"
"2018"	"-2,50%"	"+8,48%"	"-7,64%"	"+14,65%"	"+1,79%"	"+4,17%"	"+12,38%"	"+2,71%"	"+8,88%"	"+8,69%"	"-4,99%"	"+8,23%"	"+66,79%"
"2017"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+1,08%"	"+1,08%"

