"année"	"janvier"	"février"	"mars"	"avril"	"mai"	"juin"	"juillet"	"août"	"septembre"	"octobre"	"novembre"	"décembre"	"Total"
"2026"	"+1,90%"	"+4,73%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+6,72%"
"2025"	"-0,18%"	"+5,09%"	"-1,30%"	"+0,82%"	"+0,31%"	"-3,82%"	"+0,26%"	"+2,71%"	"+1,88%"	"+2,42%"	"-0,33%"	"+3,82%"	"+11,99%"
"2024"	"+1,17%"	"-0,84%"	"-0,19%"	"+3,09%"	"+2,95%"	"-1,42%"	"+7,23%"	"+1,89%"	"+4,17%"	"+5,06%"	"+3,31%"	"+5,55%"	"+36,57%"
"2023"	"+8,48%"	"+2,31%"	"-0,28%"	"-3,48%"	"+1,02%"	"+2,34%"	"-2,70%"	"+7,68%"	"-2,75%"	"+5,48%"	"+1,77%"	"-1,44%"	"+19,07%"
"2022"	"-2,16%"	"+4,93%"	"-2,46%"	"+16,08%"	"+9,02%"	"-5,22%"	"-0,55%"	"+4,93%"	"-2,23%"	"+0,79%"	"+3,41%"	"+1,05%"	"+29,06%"
"2021"	"-5,61%"	"-6,08%"	"-6,39%"	"+8,56%"	"+12,45%"	"+2,20%"	"+6,16%"	"+0,01%"	"-4,51%"	"+9,18%"	"+0,39%"	"+3,09%"	"+18,60%"
"2020"	"+5,46%"	"+5,00%"	"-3,52%"	"-3,52%"	"-6,57%"	"+4,89%"	"-3,57%"	"+3,83%"	"+12,49%"	"-0,15%"	"-2,41%"	"-0,42%"	"+10,39%"
"2019"	"+2,23%"	"+0,95%"	"+1,81%"	"-2,00%"	"-4,17%"	"+2,30%"	"+0,93%"	"+0,56%"	"-0,34%"	"+1,12%"	"-3,06%"	"+0,53%"	"+0,61%"
"2018"	"-2,41%"	"+8,58%"	"-7,21%"	"+14,16%"	"+1,62%"	"+3,60%"	"+9,93%"	"+2,12%"	"+6,38%"	"+6,31%"	"-3,18%"	"+5,74%"	"+53,60%"
"2017"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+0,00%"	"+1,08%"	"+1,08%"

